Symbol,Market Cap
PH,24421668509
PDCO,3209792400
PAYX,23253666810
PYPL,90708000000
PNR,12466660892
PBCT,6527616000
PEP,161413271020
PKI,8351767268
PRGO,12326379902
PFE,208505541949
PCG,20309412381
PM,153580671803
PSX,47996220000
PNW,8397609889
PXD,29983119693
PNC,73315000000
RL,8753430477
PPG,29043337549
PPL,20839814845
PX,42948664203
PCLN,91817448863
PFG,18457199721
PG,206318943299
PGR,31062780000
PLD,31953288000
PRU,47136080000
PEG,24138050331
PSA,32258539942
PHM,8792572352
PVH,11478625926
QRVO,9877885146
QCOM,96282828902
PWR,5330131216
DGX,13578300000
RRC,3255587970
RJF,13216271700
RTN,59066255840
O,13784942453
RHT,22799923883
REG,9858367494
REGN,35950369241
RF,21500640000
RSG,21590903863
RMD,13233622689
RHI,7047165475
ROK,24123216432
COL,22197870556
ROP,27247789759
ROST,29803566306
RCL,27418147452
SPGI,46585950000
CRM,79489115000
SBAC,19572031314
SCG,5229448882
SLB,96529311126
SNI,11328642413
STX,14113197720
SEE,8001938397
SRE,26163862235
SHW,37730994828
SIG,3034275549
SPG,48139839531
SWKS,18493080922
SLG,8617714345
SNA,9499107736
SO,43497224128
LUV,34351211637
SWK,24496399600
SBUX,76548976000
STT,38059113300
SRCL,6218560288
SYK,57509096756
STI,32498948310
SYMC,16520497264
SYF,28893750000
SNPS,12767067883
SYY,30445320778
TROW,25810865035
TPR,14247199374
TGT,39816696539
TEL,34983666316
FTI,14163064455
TXN,100262526470
TXT,15254672353
BK,56083904906
CLX,16540418002
COO,11297958140
HSY,20867272020
MOS,9726962131
TRV,38903131815
DIS,157817273295
TMO,83226586345
TIF,12810515320
TWX,74185800000
TJX,48181450881
TMK,9614412169
TSS,15694951118
TSCO,8459271203
TDG,15241203731
TRIP,5700998508
FOXA,44027094922
FOX,66135313503
TSN,26957526800
USB,90940115897
UDR,9050154422
ULTA,13300000127
UAA,5856913571
UA,5366628950
UNP,101513290382
UAL,19363059152
UNH,218834811333
UPS,96436356833
URI,14654954091
UTX,105387272474
UHS,11116075286
UNM,11256432318
VFC,31797645904
VLO,39312309113
VAR,10692681720
VTR,18865999082
VRSN,10754983829
VRSK,15594677147
VZ,208092277044
VRTX,39369386348
VIAB,10601008017
V,270038723213
VNO,12778779911
VMC,16964162228
WMT,304680931618
WBA,70862541911
WM,35488486675
WAT,16064078572
WEC,18890296993
WFC,281463620775
HCN,20943679019
WDC,24760297793
WU,8951609207
WRK,16433340688
WY,26070297960
WHR,12177920000
WMB,24802396470
WLTW,20780269334
WYN,11993835688
WYNN,18225400525
XEL,21559611927
XRX,7938833340
XLNX,17064975551
XL,10753423590
XYL,12915021000
YUM,27003303098
ZBH,24454698119
ZION,10670678640
ZTS,35991109776
